content,theme,sentiment,anls
收到了，太实惠了，买了一大箱，以后继续购买，送货速度快服务也好,NULL;送货速度;服务;,实惠;快;也好;,1;1;1;
热水器加热时间太长，安装费太贵，预留太阳能口摆设，根本用不到，没有水位指示器，加满热水的指示灯放在了最侧面，不方便用户看指示灯，必须斜着看才能看到，,加热时间;安装费;NULL;,太长;太贵;不方便;,-1;-1;-1;
真**差，我都无语了。眼瞎才买了,NULL;NULL;,差;无语;,-1;-1;
很满意，因为出差，还没有用，东西装上我看了，非常好,NULL;NULL;,满意;好;,1;1;
给奶奶买的，效果不错，厂家服务也好，给好评[追评],效果;服务;NULL;,不错;也好;好评;,1;1;1;
这个中奖有用吗？且不说中奖，这个是我买了这么多一加3t钢化膜中最高清最好看的，没有之一。,,,
不错，家用刚刚好，制冷也不错,NULL;NULL;制冷;,不错;好;不错;,1;1;1;
电流声真心受不了！而且电脑开机的时候会有爆破声。。。,NULL;,受不了;,-1;
电视挺好，都挺满意,电视;NULL;,挺好;满意;,1;1;
不是特别好的购买体验 App说有货可以马上送货 结果4天收到,NULL;货;,好;可以;,1;1;
我买过这个价格最差的指甲油，没有之一。秒杀买的，没有多高的期望，但真的没想到会这么差！隔着盒子还没闻到，一打盒子，那一股油漆味道，全屋子都是！太味了，和批发市场3、5元的质量差不多。不建议购买。,NULL;NULL;质量;,高;差;差不多;,1;-1;0;
粉特别干，送的唇彩不能用，颜色很难看,NULL;颜色;,干;难看;,-1;-1;
垃圾线，用来连titan  pascal与pg348的，不停地黑屏闪屏，我换回原配的线一点问题都没有。,NULL;NULL;,垃圾;黑屏;,-1;-1;
表带带着痒，不知道怎么回事,表带;,痒;,-1;
物流太慢，一个星期多才到，不是很热，有点失望,NULL;,失望;,-1;
很满意，噪音控制很好，很安静，制冷效果不错，制热还没试。安装师傅很尽心，比格力的安装师傅服务好太多！,NULL;噪音控制;NULL;制冷效果;服务;,满意;很好;安静;不错;好;,1;1;1;1;1;
不是很满意，与原图有差异,NULL;,满意;,1;
服务太好了，漏水了，马上换新,,,
这个商品不是很好，用的时候感觉不太像洗面奶,商品;,不是很好;,-1;
质量很好，速度相当快不卡顿！,质量;速度;NULL;,很好;快;不卡顿;,1;1;1;
太坑娘了，产品不到一半，差不多一百块太不值了,NULL;NULL;,差不多;不值;,0;-1;
清洁功能挺好，以前就算刚洗完头发不久就有粉粉的头屑，用这个洗就一点都没有了,清洁功能;,挺好;,1;
一直以来都用相宜本草的，还可以,NULL;,还可以;,1;
很不错要比婴儿店里便宜好多一直信赖京东自营,NULL;NULL;NULL;,不错;便宜;信赖;,1;1;1;
扫了一下是正品！！比之前买的便宜，味道也一样！！下次还回来！物流如果能快点就好了！！,NULL;NULL;物流;,正品;便宜;好;,1;1;1;
是挺滋润 易摸开 味道也还可以,NULL;味道;,滋润;还可以;,1;1;
质量看起来一般般哦！快递小哥赞一个,看起来;快递小哥;,一般般;赞;,0;1;
做工很一般不知道穿了怎么样,做工;,一般;,0;
订单发出后很快收到了物品，很高兴！ 只是包装的盒子像是快破了，里面的说明书也不知哪里去了，和商店购买的不同。 里面的是一样的。,NULL;NULL;NULL;,很快;快;破;,1;1;-1;
不是我想要的布鞋，老公一点都不喜欢,NULL;,不喜欢;,-1;
很好用，线足够长，质量也非常好,NULL;线;NULL;质量;,很好;足够;长;好;,1;1;1;1;
两个啊！谁知道你审核让不让别人看到啊？同一地放有瑕疵，同一批次的旧货？？？,NULL;,瑕疵;,-1;
感觉一般,感觉;,一般;,0;
很多东西不是通用的车型，厂家也不提醒，都无法安装，手刹套买回去不配套，无论怎么用尽力气都不能完全装进去，口子小了。排挡杆也无法使用，福特的车子扯面没有东西，而且你那个那么大，多出来干什么。储物防滑的小篮子也不防滑，车子开到哪，他就飘到哪里！坑，一点都不适用。,NULL;东西;NULL;NULL;,很多;不是通用;坑;不适用;,1;-1;-1;-1;
快递非常慢,快递;,慢;,-1;
不错哦，店家赠送的，感谢~,NULL;,不错;,1;
用了好几个了，很好,NULL;,很好;,1;
很不错，躁声很小很小，几乎静音的效果,NULL;NULL;NULL;,不错;很小;很小;,1;1;1;
可以买，性价比高，不错,NULL;性价比;NULL;,可以;高;不错;,1;1;1;
不好意思评价晚了 鞋子质量非常好 跟高但是穿着不累 非常舒服 很喜欢 五分好评 祝生意兴隆财源广进,质量;NULL;穿着;NULL;NULL;,好;高;舒服;喜欢;好评;,1;1;1;1;1;
酒质很一般。。。。。也就这价格，期望过高,酒质;期望;,一般;过高;,0;-1;
非常，不满意，如有打算要买的，请千万不要买，是假的，一点都不上色，跟染一样，我特意等差不多快一个钟才冲洗的。总之，是一次非常失败的。,NULL;NULL;NULL;NULL;NULL;,不满意;假;差不多;快;失败;,-1;-1;0;1;-1;
收到管子变形的，安装底座就破了。太差了。东西质量很差，商家一定要给好评才有终身售后。太欺负人了。很差。,管子;NULL;NULL;质量;商家;NULL;,变形;破;太差;很差;好评;很差;,-1;-1;-1;-1;1;-1;
买回来就坏了,NULL;,坏;,-1;
薄没用充电时太少了,NULL;NULL;,薄;太少;,0;-1;
跟我实体店买的爹地宝贝完全质量不一样，感觉质量好差感觉特别假！摸着手感完全不同！,质量;NULL;感觉;,好;差;假;,1;-1;-1;
给朋友买的，她说还不错，毕竟是上交手机，。。，[追评],NULL;,不错;,1;
第一电视根本没那么多应用，骗人的，    第二网络电视非常不稳定，      第三优酷会员压根登入不了，然后就是要会员的电影看不了。         我这是收货第一天才用不到6个小时，客服就已经翻脸不认人了，没买之前服务的很好   买了之后就不关他的事了，   要购买的亲们谨慎！！！！        </br>第一张图是购买前</br>第二张图是购买后                           我第一次在京东买东西，就让我碰上了这样的服务，    难怪京东没有淘..，宝的名气大，原来是这样的垃圾服务。,NULL;NULL;NULL;,很好;谨慎;垃圾;,1;0;-1;
感觉还可以,感觉;,还可以;,1;
